passenger_id,arrival_time,screening_start,screening_end,wait_time_hr,wait_time_min,screening_time_min,total_time_min,checkpoint_id,passenger_type,secondary_check,queue_at_arrival,day,hour,hourly_factor,miss_flight_risk,sla_met,is_peak,long_wait
451089,3929.2643,3930.2529,3930.2729,0.9886,59.32,1.2,60.52,3,Standard,0,4,219,10,0.8,1,0,0,1
567888,4952.98,4953.2455,4953.2717,0.2655,15.93,1.57,17.5,3,Standard,0,4,276,7,1.4,1,0,1,1
246535,2151.8942,2152.2062,2152.2366,0.312,18.72,1.83,20.55,5,Standard,0,4,120,14,0.7,1,0,0,1
619433,5402.9586,5403.0522,5403.08,0.0936,5.62,1.67,7.29,4,Standard,0,4,301,7,1.4,0,1,1,0
711153,6200.9705,6201.7979,6201.8341,0.8275,49.65,2.17,51.82,4,Standard,0,4,345,13,1.0,1,0,0,1
443774,3864.8601,3865.5149,3865.5553,0.6548,39.29,2.43,41.72,4,Standard,0,4,215,17,1.4,1,0,1,1
239371,2090.026,2090.062,2090.1292,0.036,2.16,4.03,6.2,5,Enhanced,0,4,117,7,1.4,0,1,1,0
326217,2840.7707,2842.3004,2842.4057,1.5298,91.79,6.32,98.1,4,Enhanced,0,4,158,19,1.1,1,0,0,1
182530,1591.6021,1592.6581,1592.6893,1.056,63.36,1.87,65.24,4,Standard,0,4,89,12,1.1,1,0,0,1
460203,4009.1288,4010.8027,4010.8317,1.6739,100.43,1.74,102.17,1,Standard,0,4,223,18,1.3,1,0,1,1
659368,5750.5505,5751.3751,5751.4125,0.8246,49.48,2.25,51.72,1,Standard,0,4,320,13,1.0,1,0,0,1
563218,4910.6609,4911.545,4911.5708,0.8841,53.05,1.55,54.6,2,Crew,0,4,273,19,1.1,1,0,0,1
212179,1848.5954,1849.1531,1849.175,0.5577,33.46,1.31,34.78,2,Standard,0,4,103,17,1.4,1,0,1,1
3740,31.3682,32.4667,32.5758,1.0985,65.91,6.55,72.46,2,Enhanced,0,4,2,18,1.3,1,0,1,1
