call_id,arrival_time,wait_time_hr,wait_time_min,handle_time_hr,handle_time_min,total_time_min,agent_id,call_type,abandoned,sla_met,queue_at_arrival,day,hour,is_peak,long_wait
1,0.0094,0.0,0.0,0.0935,5.61,5.61,1,Technical,0,1,0,1,8,0,0
2,0.0696,0.0,0.0,0.0452,2.71,2.71,2,Technical,0,1,1,1,8,0,0
3,0.0959,0.0,0.0,0.0242,1.45,1.45,3,Account,0,1,2,1,8,0,0
4,0.1142,0.0,0.0,0.0987,5.92,5.92,1,Technical,0,1,2,1,8,0,0
5,0.1176,0.0,0.0,0.0337,2.02,2.02,2,Account,0,1,2,1,8,0,0
6,0.121,0.0,0.0,0.0257,1.54,1.54,3,Account,0,1,2,1,8,0,0
7,0.1222,0.0245,1.47,0.01,0.6,2.07,3,General,0,1,2,1,8,0,0
8,0.1624,0.0,0.0,0.0254,1.53,1.53,2,General,0,1,1,1,8,0,0
9,0.1808,0.0,0.0,0.0868,5.21,5.21,3,Complaint,0,1,2,1,8,0,0
10,0.2054,0.0,0.0,0.0988,5.93,5.93,2,Technical,0,1,2,1,8,0,0
11,0.2058,0.0071,0.43,0.0537,3.22,3.65,1,Account,0,1,2,1,8,0,0
12,0.2759,0.0,0.0,0.0229,1.37,1.37,1,Account,0,1,1,1,8,0,0
13,0.3116,0.0,0.0,0.0685,4.11,4.11,3,Complaint,0,1,0,1,8,0,0
14,0.3164,0.0,0.0,0.125,7.5,7.5,1,Technical,0,1,1,1,8,0,0
15,0.3204,0.0,0.0,0.0334,2.01,2.01,2,Billing,0,1,2,1,8,0,0
16,0.3244,0.0294,1.76,0.0665,3.99,5.75,2,Billing,0,1,2,1,8,0,0
17,0.3317,0.0484,2.9,0.0,0.0,2.9,0,Billing,1,0,2,1,8,0,1
18,0.3466,0.0335,2.01,0.0,0.0,2.01,0,Billing,1,0,2,1,8,0,1
19,0.3579,0.0222,1.33,0.0362,2.17,3.5,3,Account,0,1,2,1,8,0,0
20,0.3648,0.0515,3.09,0.0754,4.52,7.61,3,Technical,0,1,2,1,8,0,1
21,0.3837,0.0366,2.2,0.0872,5.23,7.43,2,Technical,0,1,2,1,8,0,1
22,0.3867,0.0546,3.28,0.0517,3.1,6.38,1,Account,0,1,2,1,8,0,1
23,0.3936,0.098,5.88,0.0,0.0,5.88,0,Technical,1,0,2,1,8,0,1
24,0.4027,0.0889,5.33,0.1923,11.54,16.87,3,Complaint,0,1,2,1,8,0,1
25,0.4149,0.0781,4.69,0.0,0.0,4.69,0,Technical,1,0,2,1,8,0,1
26,0.4457,0.0474,2.84,0.0,0.0,2.84,0,Technical,1,0,2,1,8,0,1
27,0.4501,0.0429,2.57,0.0659,3.96,6.53,1,Billing,0,1,2,1,8,0,1
28,0.4646,0.043,2.58,0.0948,5.69,8.27,2,Technical,0,1,2,1,8,0,1
29,0.4825,0.0764,4.59,0.0,0.0,4.59,0,Complaint,1,0,2,1,8,0,1
30,0.4835,0.0755,4.53,0.0,0.0,4.53,0,Billing,1,0,2,1,8,0,1
31,0.5022,0.0568,3.41,0.0,0.0,3.41,0,Account,1,0,2,1,8,0,1
32,0.5059,0.053,3.18,0.0,0.0,3.18,0,Account,1,0,2,1,8,0,1
33,0.5073,0.0517,3.1,0.0,0.0,3.1,0,Billing,1,0,2,1,8,0,1
34,0.5667,0.0,0.0,0.0534,3.2,3.2,1,Billing,0,1,2,1,8,0,0
35,0.6342,0.0,0.0,0.0154,0.93,0.93,2,Account,0,1,1,1,8,0,0
36,0.6672,0.0,0.0,0.0159,0.96,0.96,1,Billing,0,1,1,1,8,0,0
37,0.6745,0.0,0.0,0.2112,12.67,12.67,2,Complaint,0,1,2,1,8,0,0
38,0.6765,0.0066,0.4,0.0509,3.06,3.45,1,Technical,0,1,2,1,8,0,0
39,0.6996,0.0,0.0,0.0318,1.91,1.91,3,Billing,0,1,2,1,8,0,0
40,0.7112,0.0202,1.21,0.0486,2.91,4.12,3,Account,0,1,2,1,8,0,0
41,0.7138,0.0203,1.22,0.0,0.0,1.22,0,Billing,1,0,2,1,8,0,0
42,0.7275,0.0066,0.4,0.0641,3.85,4.24,1,Billing,0,1,2,1,8,0,0
43,0.7282,0.0518,3.11,0.0,0.0,3.11,0,Technical,1,0,2,1,8,0,1
44,0.7762,0.0038,0.23,0.0417,2.5,2.73,3,Account,0,1,2,1,8,0,0
45,0.7822,0.016,0.96,0.0,0.0,0.96,0,Technical,1,0,2,1,8,0,0
46,0.8039,0.0,0.0,0.0274,1.64,1.64,1,Account,0,1,2,1,8,0,0
47,0.8114,0.0103,0.62,0.0377,2.26,2.88,3,General,0,1,2,1,8,0,0
48,0.826,0.0053,0.32,0.0582,3.49,3.81,1,Billing,0,1,2,1,8,0,0
49,0.8419,0.0175,1.05,0.0,0.0,1.05,0,Complaint,1,0,2,1,8,0,0
50,0.8459,0.0134,0.8,0.096,5.76,6.56,3,Billing,0,1,2,1,8,0,0
51,0.9158,0.0,0.0,0.0697,4.18,4.18,2,Technical,0,1,1,1,8,0,0
52,0.9456,0.0,0.0,0.0351,2.1,2.1,1,Billing,0,1,2,1,8,0,0
53,1.0017,0.0,0.0,0.0557,3.34,3.34,3,Technical,0,1,0,1,9,1,0
54,1.0468,0.0,0.0,0.026,1.56,1.56,1,General,0,1,1,1,9,1,0
55,1.065,0.0,0.0,0.1057,6.34,6.34,2,Technical,0,1,1,1,9,1,0
56,1.116,0.0,0.0,0.0257,1.54,1.54,3,General,0,1,1,1,9,1,0
57,1.1179,0.0,0.0,0.0513,3.08,3.08,1,Technical,0,1,2,1,9,1,0
58,1.1222,0.0194,1.17,0.0613,3.68,4.85,3,Billing,0,1,2,1,9,1,0
59,1.1231,0.046,2.76,0.0865,5.19,7.95,1,Technical,0,1,2,1,9,1,1
60,1.131,0.0397,2.38,0.0,0.0,2.38,0,Technical,1,0,2,1,9,1,1
61,1.1409,0.0298,1.79,0.0,0.0,1.79,0,General,1,0,2,1,9,1,0
